Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
CPRT,CPRT,CPRT,Corporate Philanthropy Report,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPR2,CPR,,Cell Proliferation (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPR3,CPRA,,Cancer Practice (Electronic),C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CPR4,CPRT,CPRT,Corporate Philanthropy Report (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPSC,CPSC,,Current Protocols in Stem Cell Biology (Electronic,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPSP,CPSP,,Clinical Psychology: Science and Practice,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CPS3,CPSP,,Clinical Psychology: Science and Practice         (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CPS4,CPPS,,Current Protocols in Protein Science (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPT,CPT,,Clinical Pharmacology & Therapeutics,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CPTC,CPTC,,ChemPhotoChem                                      - Alpha Code - Info Only - see E768,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPTX,CPTX,,Current Protocols in Toxicology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPT2,CPT,,Clinical Pharmacology & Therapeutics,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CPT3,CPTX,,Current Protocols in Toxicology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPU,CPU,,The Brown University Child & Adolescent            Psychopharmacology Update,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPU2,CPU,,The Brown University Child & Adolescent            Psychopharmacology Update,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CP2,CP,,Clinical Psychologist (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CRA,CRA,,Clinical Radiology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CRAT,CRAT,,Crystal Research and Technology                   Alpha code for WIS - Info - see journal 2223,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CRA2,CRA,,Clinical Radiology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CRD,CRD,,Credentials,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,-,,,,
CRE2,CRE2,,Clinical and Experimental Dental Research,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CRF3,CRF3,,Comprehensive Reviews in Food Science and Food    Safety,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CRIM,CRIM,CRIM,Criminology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CRIQ,CRIQ,,Critical Quarterly,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CRI3,CRIM,CRIM,Criminology (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CRI4,CRIQ,,Critical Quarterly (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CRJ,CRJ,,The Clinical Respiratory Journal,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CRJ2,CRJ,,The Clinical Respiratory Journal (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CRM2,CRM2,CRM2,Crop Management,N-Not yet published,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CROS,CROS,,CrossCurrents,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CRO3,CROS,,CrossCurrents (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CRQ,CRQ,,Conflict Resolution Quarterly,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CRQ2,CRQ,,Conflict Resolution Quarterly (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CRR,CRR,,Cardiovascular Reviews and Reports,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CRR2,CRR,,Cardiovascular Reviews and Reports                 (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CRSO,CRSO,CRSO,Crops & Soils,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CRST,CRST,,Cornerstone,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CRS2,CRSO,CRSO,Crops & Soils,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CRS3,CRST,,Cornerstone (Electronic),C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CRT2,CRT2,CRT2,JCSM Clinical Reports,P-Current publication,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
CS,CS,,Journal of Inflammation,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CSAN,CSAN,CSAN,CSA News,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CSAS,CSAS,,The CSAS Bulletin,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CSA2,CSAN,CSAN,CSA News,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CSA3,CSAS,,The CSAS Bulletin,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CSCE,CSCE,,delete - Canadian Journal of Chemical Engineering,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CSC2,CSC2,CSC2,Crop Science,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CSP2,CSP2,CSP2,Conservation Science and Practice,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CSR,CSR,CSR,Corporate Social Responsibility and Environmental Management,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
CSR2,CSR,CSR,Corporate Social Responsibility and Environment   Management,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
CSS,CSS,,Journal of Computer and Systems Sciences           International,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CSSC,CSSC,,ChemSusChem - (Alpha code for WIS: See 2476),I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CTA,CTA,,International Journal of Circuit Theory and       Applications,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CTA2,CTA,,International Journal of Circuit Theory and       Applications (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CTC,CTC,,Cell & Tissue Culture,I-Info Only,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CTE,CTE,,Journal of Communications Technology & Electronics,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CTI2,CTI2,CTI2,Clinical & Translational Immunology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CTPP,CTPP,,Contributions to Plasma Physics                   Alpha code for WIS - Info Only- see journal 2222,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CTR,CTR,,Clinical Transplantation,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CTR2,CTR,,Clinical Transplantation (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CTS,CTS,,Clinical and Translational Science,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CTS2,CTS,,Clinical and Translational Science (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CUAG,CUAG,,"Culture, Agriculture, Food and Environment",P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CUAN,CUAN,,Cultural Anthropology,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CUA3,CUAN,,Cultural Anthropology (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CUA4,CUAG,,"Culture, Agriculture, Food and Environment",P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CUP,CUP,,Journal of Cutaneous Pathology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CUP2,CUP,,Journal of Cutaneous Pathology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CUR,CUR,,Curriculum Inquiry,A-Abandoned,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CURA,CURA,,Curator                                           The Museum Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CURI,CURI,,Curriculum Inquiry,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CURJ,CURJ,CURJ,The Curriculum Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CURT,CURT,,Curtis's Botanical Magazine,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CUR2,CURJ,CURJ,The Curriculum Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CUR3,CURI,,Curriculum Inquiry (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CUR4,CURT,,Curtis's Botanical Magazine (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CUR5,CURA,,Curator (Electronic)                              The Museum Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CUVA,CUVA,,Cultural Values,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CUV3,CUVA,,Cultural Values,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CVDE,CVDE,,Chemical Vapor Deposition                         Alpha code for WIS - Info Only - see journal 2112,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CVIE,CVIE,,ChemistryViews.org,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CVJ,CVJ,,Counseling and Values,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CVJ3,CVJ,,Counseling and Values (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CVMG,CVMG,,ChemViews Magazine                                Info Only - see journal E532,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CWE,CWE,,China and World Economy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CWE2,CWE,,China and World Economy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CXO,CXO,,Clinical and Experimental Optometry,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CXO2,CXO,,Clinical and Experimental Optometry (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CYT,CYT,,Cytopathology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CYTB,CYTB,CYTO-AB,Cytometry Part B:                                 Clinical Cytometry,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CYTO,CYTO,CYTO-AB,Cytometry Part A,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CYT2,CYT,,Cytopathology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CYT3,CYTO,CYTO-AB,Cytometry Part A,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CYT7,CYTB,CYTO-AB,Cytometry Part B:                                 Clinical Cytometry,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
DA,DA,DA,Depression and Anxiety,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DAC,DAC,,International Journal of Communication Systems,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DAC2,DAC,,International Journal of Communication Systems    (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DAD2,DAD2,DAD2,"Alzheimer's & Dementia: Diagnosis, Assessment &    Disease Monitoring",P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
DAMA,DAMA,,Mauerwerk                                         Alpha code for WIS - Info Only - see journal 2116,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
DAP,DAP,,Dean & Provost,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DAP2,DAP,,Dean and Provost (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DAR,DAR,,Drug and Alcohol Review,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
DARR,DARR,CPRT,Development and Alumni Relations Report,M-Merged,PD Education,,,,,,,,,,,,,O-Proprietary Owned,,,,
DAR2,DAR,,Drug and Alcohol Review,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
DAR3,DARR,CPRT,Development and Alumni Relations Report           (Electronic),M-Merged,PD Education,,,,,,,,,,,,,O-Proprietary Owned,,,,
DAT,DAT,,Dialysis & Transplantation,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DATA,DATA,ADAW,The Brown University Digest of Addiction Theory    and Application,M-Merged,PD Psychology,,,,,,,,,,,,,O-Proprietary Owned,,,,
DAT2,DAT,,Dialysis & Transplantation (Electronic),C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DAT3,DATA,ADAW,"Brown University Digest of Addiction Theory        and Application, The (Electronic)",M-Merged,PD Psychology,,,,,,,,,,,,,O-Proprietary Owned,,,,
DA2,DA,DA,Depression and Anxiety (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DC,DC,,Diagnostic Cytopathology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DCG,DCG,,Dysmorphology & Clinic. Genet.,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DCH,DCH,,The Department Chair,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DCH2,DCH,,Department Chair (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DC2,DC,,Diagnostic Cytopathology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DDG,DDG,DDG,Journal der Deutschen Dermatologischen             Gesellschaft,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
DDG2,DDG,DDG,Journal der Deutschen Dermatologischen             Gesellschaft,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
DDI,DDI,JBI,Diversity and Distributions,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DDI2,DDI,JBI,Diversity and Distributions (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DDR,DDR,,Drug Development Research,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DDRR,DDRR,,Developmental Disabilities Research Reviews,C-Ceased,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
DDR2,DDR,,Drug Development Research (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DDR3,DDRR,,Developmental Disabilities Research Reviews,C-Ceased,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
DEAK,DEAK,,DECHEMA aktuell - info only see 2384,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
DECH,DECH,,Development and Change,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
DECI,DECI,DECI,Decision Sciences,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
DEC3,DECH,,Development and Change (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
DEC4,DECI,DECI,Decision Sciences (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
DEI,DEI,,Deafness and Education International,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
DEI2,DEI,,Deafness and Education International               (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
DEN,DEN,,Digestive Endoscopy,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
DEN2,DEN,,Digestive Endoscopy (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
DEPR,DEPR,DA,Depression,M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DEP2,DEP2,,The Depositional Record,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
DEP3,DEPR,DA,Depression (Electronic),M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DER2,DER2,DER2,Dermatological Reviews,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DES,DES,,Design Computing,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DESC,DESC,,Developmental Science,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
DES3,DESC,,Developmental Science (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
DEV,DEV,,Developmental Psychobiology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DEVE,DEVE,,The Developing Economies,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
DEV2,DEV,,Developmental Psychobiology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DEV3,DEVE,,The Developing Economies,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
DEWB,DEWB,BIOE,Developing World Bioethics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
DEW3,DEWB,BIOE,Developing World Bioethics (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
DGD,DGD,,"Development, Growth & Differentiation",O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
DGD2,DGD,,"Development, Growth & Differentiation (Electronic)",P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
DH,DH,PATH,Diagnostic Histopathology,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DHE,DHE,,Disability Compliance for Higher Education,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DHE2,DHE2,,Delete -Disability Compliance for Higher Education (Electronic) To be removed - see DHE3,A-Abandoned,PD Technology,,,,,,,,,,,,,O-Proprietary Owned,,,,
DHE3,DHE,,Disability Compliance for Higher Education         (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DI,DI,JCLA,Diagnostic Immunology,M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
DIA,DIA,,Diabetic Medicine (see DME),I-Info Only,STMS Health Sciences,Health Sci,,,,,,,,,,,,-,,,,
DIAL,DIAL,,Dialog,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
DIA3,DIAL,,Dialog,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
